seismicity_pga050,p_obj_dummy,bldg_group_dummy,sp_dummy,occup_cond,historic_dummy,area,bldg_age,stories,ystruct19
0,1,5,4,3,0,14509,46,1,8.07750382816681
3,2,2,11,2,0,38222,37,1,17.57321723997886
0,1,0,0,1,0,341288,32,4,7.61641419206308
2,2,5,3,1,2,51230,48,2,74.59477594670916
3,0,3,1,2,0,38634,60,3,70.74568099404743
2,0,3,10,2,0,2852,36,1,23.254556550027807
1,2,7,11,1,0,64379,13,1,8.638767957792943
2,2,0,10,3,0,111256,29,15,79.6040911451235
1,2,7,9,2,0,610,34,1,37.564851078303874
3,1,6,6,2,2,108905,35,1,14.718468557919838
1,2,4,9,2,0,254821,18,19,8.786342517656317
0,2,0,11,1,2,309769,111,3,26.41472493919023
1,0,7,2,0,0,1786,48,8,25.262341171983607
1,0,0,0,0,0,32854,36,1,1.4985857993754457
1,0,2,1,1,0,9624,63,1,68.29917123478127
0,0,3,9,0,0,2528,66,1,24.003886648493605
2,0,2,0,2,0,17393,46,1,7.506177351683574
1,0,3,8,1,0,2850,48,2,72.45765855574054
3,2,7,2,2,0,205,48,1,11.782987080198293
1,0,3,2,1,0,73277,11,1,45.06436055244962
0,0,6,0,3,0,5327,13,1,12.319283679213681
1,0,4,10,2,1,463483,40,8,23.50454419457126
3,2,3,2,3,2,12079,60,1,47.09369272295521
0,2,3,8,1,0,14225,52,1,44.97690179479688
3,1,5,4,0,1,48553,11,6,30.830344049163944
3,2,7,4,2,0,3541,55,2,16.23133106106932
3,1,7,0,1,0,59548,78,2,55.58312675168773
3,0,7,2,1,2,49035,70,6,105.96116641921971
3,2,3,0,1,0,26059,43,8,115.52937045212599
3,1,7,6,1,0,6298,31,1,21.164362075073566
1,0,1,0,2,0,60861,25,1,10.419649284017423
3,0,0,6,1,0,20695,16,1,53.92964246067004
2,1,7,11,1,0,33206,40,1,96.49737441564912
0,2,3,3,3,0,19390,47,2,3.4786747409441396
3,0,0,5,0,0,13700,36,2,42.83447444323079
2,0,3,0,1,1,100243,27,3,27.77287520473655
0,2,7,10,1,0,46450,57,2,50.33310642506974
